MHC,Identity,WB,"NA",SB,total,SB_pct,WB_pct,Binder_pct
HLA-DPA10103-DPB10501,csp-47,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10501,csp-53,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10501,csp-55,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10501,csp-68,2,90,4,96,0.041666666666666664,0.020833333333333332,0.0625
HLA-DPA10103-DPB10501,csp-7,1,91,4,96,0.041666666666666664,0.010416666666666666,0.052083333333333336
HLA-DPA10103-DPB10501,csp-8,3,92,1,96,0.010416666666666666,0.03125,0.041666666666666664
HLA-DPA10103-DPB10501,csp-94,1,91,4,96,0.041666666666666664,0.010416666666666666,0.052083333333333336
HLA-DPA10103-DPB10501,csp-99,1,91,4,96,0.041666666666666664,0.010416666666666666,0.052083333333333336
HLA-DPA10103-DPB10501,csp_reference,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10601,csp-1,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-10,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-11,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-111,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10601,csp-117,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-12,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10601,csp-15,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-16,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-18,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10601,csp-19,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-22,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-27,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-31,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-32,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-35,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-36,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-39,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-4,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-46,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-47,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-53,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-55,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-68,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10601,csp-7,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-8,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-94,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp-99,0,96,0,96,0,0,0
HLA-DPA10103-DPB10601,csp_reference,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-1,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10901,csp-10,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-11,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-111,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-117,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-12,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10901,csp-15,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-16,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-18,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-19,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-22,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-27,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-31,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-32,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-35,0,96,0,96,0,0,0
