Record ID, Country, Match
DQ521740.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521738.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521737.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521736.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521735.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521733.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
AF315469.1, CHINA: HAINAN, 0
HM756109.1, INDIA: MADHYA PRADESH, 0
HM756108.1, INDIA: MADHYA PRADESH, 0
HM756107.1, INDIA: MADHYA PRADESH, 0
HM756106.1, INDIA: MADHYA PRADESH, 0
HM756105.1, INDIA: MADHYA PRADESH, 0
HM756104.1, INDIA: MADHYA PRADESH, 0
HM756103.1, INDIA: MADHYA PRADESH, 0
HM756102.1, INDIA: MADHYA PRADESH, 0
HM756101.1, INDIA: MADHYA PRADESH, 0
HM756100.1, INDIA: MADHYA PRADESH, 0
HM756099.1, INDIA: MADHYA PRADESH, 0
HM756098.1, INDIA: MADHYA PRADESH, 0
HM756097.1, INDIA: MADHYA PRADESH, 0
HM756096.1, INDIA: MADHYA PRADESH, 0
HM756095.1, INDIA: MADHYA PRADESH, 0
HM756094.1, INDIA: MADHYA PRADESH, 0
HM582081.1, INDIA: MADHYA PRADESH, 0
HM582080.1, INDIA: MADHYA PRADESH, 0
HM582079.1, INDIA: MADHYA PRADESH, 0
HM582078.1, INDIA: MADHYA PRADESH, 0
HM582077.1, INDIA: MADHYA PRADESH, 0
HM582076.1, INDIA: MADHYA PRADESH, 0
HM582075.1, INDIA: MADHYA PRADESH, 0
HM582074.1, INDIA: MADHYA PRADESH, 0
HM582073.1, INDIA: MADHYA PRADESH, 0
HM582072.1, INDIA: MADHYA PRADESH, 0
HM582071.1, INDIA: MADHYA PRADESH, 0
HM582070.1, INDIA: MADHYA PRADESH, 0
HM582069.1, INDIA: MADHYA PRADESH, 0
HM582068.1, INDIA: MADHYA PRADESH, 0
HM582067.1, INDIA: MADHYA PRADESH, 0
HM582066.1, INDIA: MADHYA PRADESH, 0
HM582065.1, INDIA: MADHYA PRADESH, 0
