SampleID	SampleName	MarkerID	BarcodePair	ReadNumbers	FileR1	FileR2
Mariam-2_S4	Mariam-2_S4	csp		0	data/Mariam-2_S4_L001_R1_001.fastq.gz	data/Mariam-2_S4_L001_R2_001.fastq.gz
PZ049-1_S21	PZ049-1_S21	msp1		0	data/PZ049-1_S21_L001_R1_001.fastq.gz	data/PZ049-1_S21_L001_R2_001.fastq.gz
Rafiatu-1_S9	Rafiatu-1_S9	msp1		0	data/Rafiatu-1_S9_L001_R1_001.fastq.gz	data/Rafiatu-1_S9_L001_R2_001.fastq.gz
Rafiatu-2_S8	Rafiatu-2_S8	csp		0	data/Rafiatu-2_S8_L001_R1_001.fastq.gz	data/Rafiatu-2_S8_L001_R2_001.fastq.gz
Shaatu-1_S11	Shaatu-1_S11	msp1		0	data/Shaatu-1_S11_L001_R1_001.fastq.gz	data/Shaatu-1_S11_L001_R2_001.fastq.gz
Shaatu-2_S10	Shaatu-2_S10	csp		0	data/Shaatu-2_S10_L001_R1_001.fastq.gz	data/Shaatu-2_S10_L001_R2_001.fastq.gz
Yakabu-2_S12	Yakabu-2_S12	csp		0	data/Yakabu-2_S12_L001_R1_001.fastq.gz	data/Yakabu-2_S12_L001_R2_001.fastq.gz
Yakubu-1_S13	Yakubu-1_S13	msp1		0	data/Yakubu-1_S13_L001_R1_001.fastq.gz	data/Yakubu-1_S13_L001_R2_001.fastq.gz
cc001-1_S29	cc001-1_S29	msp1		0	data/cc001-1_S29_L001_R1_001.fastq.gz	data/cc001-1_S29_L001_R2_001.fastq.gz
cc001-2_S9	cc001-2_S9	csp		0	data/cc001-2_S9_L001_R1_001.fastq.gz	data/cc001-2_S9_L001_R2_001.fastq.gz
cc002-1_S30	cc002-1_S30	msp1		0	data/cc002-1_S30_L001_R1_001.fastq.gz	data/cc002-1_S30_L001_R2_001.fastq.gz
cc002-2_S10	cc002-2_S10	csp		0	data/cc002-2_S10_L001_R1_001.fastq.gz	data/cc002-2_S10_L001_R2_001.fastq.gz
cc003-1_S31	cc003-1_S31	msp1		0	data/cc003-1_S31_L001_R1_001.fastq.gz	data/cc003-1_S31_L001_R2_001.fastq.gz
cc003-2_S11	cc003-2_S11	csp		0	data/cc003-2_S11_L001_R1_001.fastq.gz	data/cc003-2_S11_L001_R2_001.fastq.gz
cc004-1_S32	cc004-1_S32	msp1		0	data/cc004-1_S32_L001_R1_001.fastq.gz	data/cc004-1_S32_L001_R2_001.fastq.gz
cc004-2_S12	cc004-2_S12	csp		0	data/cc004-2_S12_L001_R1_001.fastq.gz	data/cc004-2_S12_L001_R2_001.fastq.gz
cc005-1_S33	cc005-1_S33	msp1		0	data/cc005-1_S33_L001_R1_001.fastq.gz	data/cc005-1_S33_L001_R2_001.fastq.gz
